#network size	 total_msg_flow	 avg_msg_out	 avg_msg_in	
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
3	12	2.0	2.0
